"","var","cat","value","value2","class"
"1","Sex",1,19684.5844264379,0.227461933934975,"Male"
"2","Sex",2,19610.5093876313,-0.149703921914792,"Female"
"3","Birth_Area",1,19573.8007926992,-0.336612074076271,"Local"
"4","Birth_Area",3,20419.3510601731,3.96865317361946,"Other"
"5","Father_Occ",0,18222.4719908979,-7.21713609778193,"Dead/unknown/not working"
"6","Father_Occ",1,23082.9721160386,17.5309398950311,"Manager"
"7","Father_Occ",2,22407.7530567519,14.092945416934,"Professional"
"8","Father_Occ",3,21623.0397851714,10.0974422428488,"Technician"
"9","Father_Occ",4,22778.6060255019,15.9812073686855,"Clerical"
"10","Father_Occ",5,20910.4088986723,6.46895898395888,"Service"
"11","Father_Occ",6,17975.3246119839,-8.47552966990658,"Agriculture"
"12","Father_Occ",7,19321.7726458824,-1.61985691908482,"Craft/Trades"
"13","Father_Occ",8,18922.2331364505,-3.6541813480478,"Plant Operator"
"14","Father_Occ",9,19200.8050845881,-2.23578415342264,"Elementary"
"15","Father_Occ",10,18583.7159372124,-5.37780014362936,"Armed forces"
"16","Mother_Occ",0,17263.9197788785,-12.097770266153,"Dead/unknown/not working"
"17","Mother_Occ",1,21596.4673660548,9.96214418078104,"Manager"
"18","Mother_Occ",2,20210.4445328674,2.90496950320544,"Professional"
"19","Mother_Occ",3,21362.5242299946,8.77098229205539,"Technician"
"20","Mother_Occ",4,20138.9105046176,2.54074164154139,"Clerical"
"21","Mother_Occ",5,19490.3923699011,-0.761300466772568,"Service"
"22","Mother_Occ",6,18612.7422283534,-5.23000776826612,"Agriculture"
"23","Mother_Occ",7,20267.2089164502,3.19399516773063,"Craft/Trades"
"24","Mother_Occ",8,23160.3809727954,17.9250804608601,"Plant Operator"
"25","Mother_Occ",9,17848.1040577756,-9.12329509781183,"Elementary"
"26","Mother_Edu",0,19335.3649364543,-1.55064942369754,"Unknown"
"27","Mother_Edu",1,18985.2639799133,-3.33324892057173,"Low"
"28","Mother_Edu",2,19551.8777291436,-0.448237139172221,"Medium"
"29","Mother_Edu",3,20519.2918710223,4.4775190758927,"High"
"30","Father_Edu",0,19012.9454027314,-3.19230417458819,"Unknown"
"31","Father_Edu",1,18281.278358532,-6.91771331872626,"Low"
"32","Father_Edu",2,19850.7764900082,1.07365753371803,"Medium"
"33","Father_Edu",3,21990.2035948045,11.9669202036888,"High"
